word,tfidf
fault,0.4685779186525334
diagnosis,0.31973366104115103
network,0.31563451154062344
convolutional,0.29614081036108636
cnn,0.20543101259282565
bear,0.18408753076499962
signal,0.1530997159953822
base,0.1502678070946495
deep,0.14756938201899278
datum,0.13917919939003545
neural,0.13117278401688248
use,0.12733416114407498
bearing,0.11738915005304323
feature,0.11495897810519634
vibration,0.11472121482456499
method,0.10674762252625375
dataset,0.10247873751318944
ieee,0.0974270919970614
learning,0.08293469134732022
model,0.0821749528313507
propose,0.07993341526028776
condition,0.07390220021048337
domain,0.07315489370506453
health,0.07075062633119934
transfer,0.06949714901981131
wang,0.06661117938357312
convolution,0.06611124099800594
trans,0.06536441309771725
zhang,0.06495139466470759
train,0.06456160463330934
learn,0.06126722347799155
machine,0.06076403128417521
prediction,0.06046245513278176
motor,0.056026639798043364
ind,0.05469267218380423
machinery,0.05451277766502245
input,0.05212286176485849
different,0.05120842559354518
intelligent,0.0510332386651274
layer,0.05021458138146282
multi,0.04844699791576131
gearbox,0.048022834112608596
sensor,0.0468047267999728
liu,0.04639385333193401
zhao,0.04535489888413034
image,0.04441889342235174
application,0.04434132012629002
chen,0.04407416066533731
fusion,0.044020931269891206
raw,0.04304106975553956
gear,0.04304106975553956
present,0.0411496277090988
approach,0.0411496277090988
time,0.04071731897048909
review,0.03996670763014388
mechanical,0.03791713287988009
transform,0.03791713287988009
degradation,0.037351093198695576
adaptation,0.037351093198695576
rotate,0.0371150826655472
process,0.036129964547347425
design,0.035663010681218965
tion,0.03474857450990566
rolling,0.03468315797021732
kernel,0.03468315797021732
result,0.0344876934315589
speed,0.03381798337935251
wavelet,0.03363554366565215
yang,0.03334919035597819
lstm,0.03334919035597819
operating,0.03334919035597819
monitoring,0.03291970216727904
show,0.03284542231577038
research,0.03279319600422062
sample,0.031768408629088724
real,0.031768408629088724
employ,0.03131585099905545
construct,0.03131585099905545
mech,0.030681255127499935
frequency,0.03017639365333912
diagnostic,0.029718833878824936
life,0.028996158332458753
also,0.028739744526299085
develop,0.02834752131071251
parameter,0.027918608968404826
algorithm,0.0274330851393992
two,0.027097473410510567
literature,0.026679352284782555
gradient,0.0255166193325637
adaptive,0.0255166193325637
comput,0.025345384670543425
sgd,0.025345384670543425
guo,0.025345384670543425
addition,0.024689776625459285
ﬁeld,0.024011417056304298
therefore,0.023812931178933527
apply,0.023812931178933527
test,0.023812931178933527
work,0.023690076491920925
remain,0.02357010962803357
one,0.02299179562103927
distribution,0.02254532225290167
useful,0.02254532225290167
characteristic,0.02254532225290167
lin,0.022037080332668654
gao,0.022037080332668654
thus,0.021946468111519363
matrix,0.02152053487776978
performance,0.02146913182080334
shaft,0.02134348182782604
aim,0.02134348182782604
spectrum,0.02134348182782604
current,0.02103203194020605
novel,0.0208772339993703
information,0.020728816930430813
study,0.020495747502637884
integrate,0.020009514213586915
yan,0.020009514213586915
han,0.020009514213586915
various,0.020009514213586915
huang,0.01971738766607195
experimental,0.01971738766607195
introduce,0.01970725338946223
label,0.01947096012750599
include,0.01924818714968575
variable,0.01920315959757944
framework,0.01920315959757944
training,0.01888611783156797
table,0.01888611783156797
adam,0.018675546599347788
meas,0.018675546599347788
eng,0.018675546599347788
ensemble,0.0185575413327736
architecture,0.0185575413327736
university,0.018446172752374097
utilize,0.018288723426266133
achieve,0.018288723426266133
encoder,0.01739769499947525
small,0.01739769499947525
phm,0.01734157898510866
inform,0.01734157898510866
popular,0.01734157898510866
three,0.01724384671577945
scale,0.01724384671577945
build,0.01645985108363952
multiple,0.01642271115788519
system,0.01642271115788519
new,0.01642271115788519
mean,0.01642271115788519
dimensional,0.01639659800211031
usually,0.01639659800211031
issue,0.01639659800211031
industry,0.01639659800211031
high,0.016286927588195638
data,0.016286927588195638
acquire,0.016237848666176898
combine,0.016237848666176898
complex,0.016237848666176898
sun,0.016237848666176898
researcher,0.016237848666176898
editor,0.01600761137086953
summarize,0.01600761137086953
china,0.01600761137086953
pub,0.01600761137086953
multiscale,0.01600761137086953
jia,0.01600761137086953
liang,0.01600761137086953
acoustic,0.01600761137086953
improve,0.015601575599990933
scenario,0.015545414912326215
industrial,0.015545414912326215
accord,0.015371810626978413
target,0.015371810626978413
technology,0.015371810626978413
several,0.015371810626978413
furthermore,0.015078002332878551
ture,0.015078002332878551
well,0.014806297807450578
state,0.014780440042096672
function,0.014780440042096672
level,0.014780440042096672
realistic,0.014673643756630404
peng,0.014673643756630404
output,0.014630978741012908
generate,0.014630978741012908
rate,0.014630978741012908
column,0.014630978741012908
describe,0.01434702325184652
extraction,0.01434702325184652
loss,0.01434702325184652
however,0.013959304484202413
analysis,0.013959304484202413
variant,0.0139181559995802
failure,0.0139181559995802
non,0.0139181559995802
practical,0.0139181559995802
construction,0.0139181559995802
pre,0.0139181559995802
measurement,0.0137165425696996
operation,0.0137165425696996
task,0.0137165425696996
decision,0.0137165425696996
ing,0.0137165425696996
hybrid,0.013339676142391278
strategy,0.013339676142391278
rig,0.013339676142391278
